variant,cutoff,model,population,positives,average_precision,ap_ci_lo,ap_ci_hi,precision_at_10,precision_at_20,precision_at_50
headline,2023-01-01,severe_hazard_count,5933,25,0.016109683128265634,0.007483494183482825,0.02765373075573897,0.0,0.0,0.0
headline,2023-01-01,latest_sales_tonnage,5933,25,0.010000257493113871,0.005243708506392806,0.02489242659730019,0.0,0.0,0.02
headline,2023-01-01,efsa_assessment_count,5933,25,0.004371777927225587,0.002536505821636022,0.00912294061590745,0.0,0.0,0.02
headline,2023-01-01,xgboost,5933,25,0.25419020517618257,0.14377225970123705,0.4096698435003662,0.3,0.25,0.22
headline,2024-01-01,severe_hazard_count,5974,19,0.018406271340283806,0.008621267799356075,0.03357241975059778,0.0,0.0,0.02
headline,2024-01-01,latest_sales_tonnage,5974,19,0.017407984090662035,0.0063626228023171616,0.042563201187994504,0.0,0.0,0.02
headline,2024-01-01,efsa_assessment_count,5974,19,0.0036548818049812123,0.002245910979831654,0.009529835136881274,0.0,0.0,0.02
headline,2024-01-01,xgboost,5974,19,0.18752613297035206,0.12027575270550314,0.30450177403521267,0.2,0.25,0.22
early_warning,2009-01-01,severe_hazard_count,2618,71,0.027119938884644767,0.022135217723453015,0.032104660045836515,0.4,0.3,0.28
early_warning,2009-01-01,latest_sales_tonnage,2618,71,0.027119938884644767,0.022135217723453015,0.032104660045836515,0.4,0.3,0.28
early_warning,2009-01-01,efsa_assessment_count,2618,71,0.021370412910423766,0.017488594313232433,0.026685693884627385,0.0,0.05,0.02
early_warning,2009-01-01,xgboost,2618,71,0.6395940966841591,0.531143596130831,0.7546583881852305,0.9,0.75,0.76
early_warning,2010-01-01,severe_hazard_count,3221,85,0.026389320086929523,0.022042843837317604,0.030735796336541447,0.4,0.3,0.28
early_warning,2010-01-01,latest_sales_tonnage,3221,85,0.026389320086929523,0.022042843837317604,0.030735796336541447,0.4,0.3,0.28
early_warning,2010-01-01,efsa_assessment_count,3221,85,0.020091865250403945,0.017009786848874733,0.023497164243677485,0.0,0.0,0.02
early_warning,2010-01-01,xgboost,3221,85,0.6408536757044706,0.5449360627661644,0.7159865351899358,0.9,0.85,0.76
early_warning,2011-01-01,severe_hazard_count,3846,103,0.09835406613565843,0.07342145507618006,0.12435232798333225,0.2,0.15,0.1
early_warning,2011-01-01,latest_sales_tonnage,3846,103,0.026781071242849713,0.02262090483619345,0.030434217368694744,0.3,0.25,0.14
early_warning,2011-01-01,efsa_assessment_count,3846,103,0.021180345847063874,0.017968707997586576,0.0244789654630275,0.0,0.0,0.0
early_warning,2011-01-01,xgboost,3846,103,0.5709513679313308,0.49411772342278826,0.6592704942235379,0.8,0.75,0.7
early_warning,2012-01-01,severe_hazard_count,4121,104,0.09687877441847394,0.07007439349125101,0.12306644054497368,0.2,0.15,0.1
early_warning,2012-01-01,latest_sales_tonnage,4121,104,0.025236593059936908,0.021827226401358892,0.02936180538704198,0.3,0.25,0.14
early_warning,2012-01-01,efsa_assessment_count,4121,104,0.02004867420173627,0.017494117650396702,0.023408895755068885,0.0,0.0,0.0
early_warning,2012-01-01,xgboost,4121,104,0.583138326362987,0.5039166257151991,0.6749839796567645,0.7,0.65,0.72
early_warning,2013-01-01,severe_hazard_count,4451,108,0.0937121582765233,0.06960647066276406,0.11891018793216172,0.2,0.15,0.1
early_warning,2013-01-01,latest_sales_tonnage,4451,108,0.02426421028982251,0.01999550662772411,0.02809481015502134,0.3,0.25,0.14
early_warning,2013-01-01,efsa_assessment_count,4451,108,0.01991449061243583,0.016580939371009646,0.023369609682425175,0.0,0.0,0.0
early_warning,2013-01-01,xgboost,4451,108,0.5689084336594,0.4990186741228155,0.6612176095923733,0.4,0.6,0.74
early_warning,2014-01-01,severe_hazard_count,4740,112,0.0903764133194513,0.06896830097854598,0.11802947076667612,0.2,0.15,0.1
early_warning,2014-01-01,latest_sales_tonnage,4740,112,0.02362869198312236,0.020031645569620254,0.027426160337552744,0.3,0.25,0.14
early_warning,2014-01-01,efsa_assessment_count,4740,112,0.019531154457630432,0.016764861242072798,0.022750617382965774,0.0,0.0,0.02
early_warning,2014-01-01,xgboost,4740,112,0.5802545091473366,0.5074939411569012,0.6730480268120648,0.5,0.7,0.66
early_warning,2015-01-01,severe_hazard_count,4928,110,0.08298933209647494,0.06292793540020172,0.10893932029926733,0.1,0.1,0.08
early_warning,2015-01-01,latest_sales_tonnage,4928,110,0.022321428571428572,0.019277597402597404,0.025771103896103896,0.2,0.2,0.12
early_warning,2015-01-01,efsa_assessment_count,4928,110,0.018603740651436673,0.0160619455232224,0.021837286446532538,0.0,0.0,0.02
early_warning,2015-01-01,xgboost,4928,110,0.5701264463320713,0.49804658144347635,0.65819049870635,0.6,0.75,0.72
early_warning,2016-01-01,severe_hazard_count,5051,110,0.08734151671639892,0.06612664782804542,0.11752154284780164,0.2,0.1,0.1
early_warning,2016-01-01,latest_sales_tonnage,5051,110,0.021777865769154622,0.018808156800633538,0.02535141556127499,0.2,0.2,0.12
early_warning,2016-01-01,efsa_assessment_count,5051,110,0.018373223102057253,0.01612986010896594,0.022142895676816304,0.0,0.0,0.04
early_warning,2016-01-01,xgboost,5051,110,0.5643039959069778,0.48366953430912246,0.6620144366886331,0.6,0.75,0.62
early_warning,2017-01-01,severe_hazard_count,5268,107,0.08331756047148532,0.06049543158794717,0.10999427555308827,0.2,0.1,0.1
early_warning,2017-01-01,latest_sales_tonnage,5268,107,0.020311313591495826,0.01727410782080486,0.022968868640850418,0.2,0.2,0.12
early_warning,2017-01-01,efsa_assessment_count,5268,107,0.017926140674470674,0.015594363065395722,0.02170042522919847,0.0,0.0,0.04
early_warning,2017-01-01,xgboost,5268,107,0.5716385515362635,0.49547539560184084,0.6504609534964371,0.8,0.65,0.58
early_warning,2018-01-01,severe_hazard_count,5424,100,0.07896186262115466,0.05796910633826991,0.10709680632065073,0.1,0.05,0.06
early_warning,2018-01-01,latest_sales_tonnage,5424,100,0.018436578171091445,0.015671091445427728,0.021580014749262532,0.2,0.2,0.12
early_warning,2018-01-01,efsa_assessment_count,5424,100,0.01719234120134286,0.014360886969723999,0.02142745306233448,0.0,0.0,0.04
early_warning,2018-01-01,xgboost,5424,100,0.4880892542757185,0.4177721783274893,0.5761414267213455,0.7,0.6,0.48
early_warning,2019-01-01,severe_hazard_count,5641,90,0.07535104636150551,0.055074123348904984,0.09862647897246522,0.2,0.1,0.06
early_warning,2019-01-01,latest_sales_tonnage,5641,90,0.015954617975536253,0.013118241446552029,0.01863144832476511,0.2,0.15,0.08
early_warning,2019-01-01,efsa_assessment_count,5641,90,0.01571805773213335,0.01291949211768966,0.0203377421720605,0.0,0.05,0.04
early_warning,2019-01-01,xgboost,5641,90,0.4165648923768778,0.3432630801306081,0.5063889577475594,0.5,0.5,0.4
early_warning,2020-01-01,severe_hazard_count,5720,72,0.059376517579642574,0.03928605204879564,0.08934201796508227,0.2,0.1,0.06
early_warning,2020-01-01,latest_sales_tonnage,5720,72,0.012587412587412588,0.010314685314685315,0.01486013986013986,0.1,0.1,0.06
early_warning,2020-01-01,efsa_assessment_count,5720,72,0.01261112715702481,0.009730105623946576,0.018123046393029776,0.0,0.05,0.04
early_warning,2020-01-01,xgboost,5720,72,0.38507020115508983,0.31239164553989945,0.5052784884651024,0.4,0.5,0.46
early_warning,2021-01-01,severe_hazard_count,5808,55,0.03840606295678144,0.025704948830135618,0.055362924357666626,0.1,0.1,0.06
early_warning,2021-01-01,latest_sales_tonnage,5808,55,0.00946969696969697,0.007575757575757576,0.011535812672176309,0.1,0.1,0.06
early_warning,2021-01-01,efsa_assessment_count,5808,55,0.008840447017823386,0.006933004231535778,0.011832181562812912,0.0,0.0,0.02
early_warning,2021-01-01,xgboost,5808,55,0.24446677358468313,0.19919136513054006,0.31103486969602173,0.0,0.05,0.26
early_warning,2022-01-01,severe_hazard_count,5875,33,0.020132452997521675,0.009485269608869999,0.040368957427606815,0.1,0.1,0.06
early_warning,2022-01-01,latest_sales_tonnage,5875,33,0.040080878064086015,0.017155264477822396,0.08279939452207702,0.0,0.05,0.1
early_warning,2022-01-01,efsa_assessment_count,5875,33,0.0057125277783184,0.003967041123432364,0.009570116427863873,0.0,0.0,0.02
early_warning,2022-01-01,xgboost,5875,33,0.19345741251540183,0.13107220730112104,0.3015796690249296,0.1,0.2,0.26
early_warning,2023-01-01,severe_hazard_count,5933,31,0.022728430814577483,0.01274463541396524,0.036848338334392085,0.0,0.05,0.04
early_warning,2023-01-01,latest_sales_tonnage,5933,31,0.03653314547702459,0.01717045983798858,0.07738487314193998,0.0,0.0,0.1
early_warning,2023-01-01,efsa_assessment_count,5933,31,0.005085203893528815,0.0032225111585331735,0.008821690724568974,0.0,0.0,0.02
early_warning,2023-01-01,xgboost,5933,31,0.2234739947551218,0.1312746922778593,0.35224251173680793,0.4,0.2,0.18
early_warning,2024-01-01,severe_hazard_count,5974,25,0.026486187769808534,0.014060176678191478,0.04581770619644322,0.0,0.05,0.04
early_warning,2024-01-01,latest_sales_tonnage,5974,25,0.050843931211507015,0.027720165479513448,0.09945392315167614,0.0,0.0,0.1
early_warning,2024-01-01,efsa_assessment_count,5974,25,0.0042407631406260965,0.002842226687110305,0.008862569547877083,0.0,0.0,0.02
early_warning,2024-01-01,xgboost,5974,25,0.14566563143009215,0.10023711757113415,0.23694075847630838,0.2,0.15,0.18
